cod_familiar;faixa_renda;loteamento;qtd_pessoas;renda_total_declarada;renda_per_capita
8651400497;3 a 5 SM;JARDIM NOVA HORTOLANDIA;2.0;5434;2717.0
8679977888;3 a 5 SM;JARDIM NOVO ANGULO;2.0;5430;2715.0
8294454478;3 a 5 SM;JARDIM MINDA;2.0;5418;2709.0
8609674681;3 a 5 SM;JARDIM DAS FLORES;2.0;5418;2709.0
8349509953;3 a 5 SM;JARDIM SANTANA;2.0;5414;2707.0
7468339546;3 a 5 SM;JARDIM BOA VISTA;2.0;5412;2706.0
8698590721;3 a 5 SM;JARDIM NOSSA SENHORA DE FATIMA;2.0;5406;2703.0
8319348757;3 a 5 SM;VILA REAL SANTISTA;2.0;5404;2702.0
8799869136;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5404;2702.0
8254599580;3 a 5 SM;JARDIM SANTA CLARA DO LAGO;2.0;5402;2701.0
7030558529;3 a 5 SM;PARQUE SANTO ANDRE;2.0;5400;2700.0
8147113323;3 a 5 SM;JARDIM NOVO ANGULO;2.0;5398;2699.0
8144458966;3 a 5 SM;PARQUE MARIA DE LOURDES;2.0;5396;2698.0
7834440284;3 a 5 SM;JARDIM CONCEICAO;2.0;5394;2697.0
20275719308;3 a 5 SM;JARDIM AMANDA II;2.0;5392;2696.0
7520418600;3 a 5 SM;PARQUE ORTOLANDIA;2.0;5388;2694.0
20037100947;3 a 5 SM;JARDIM NOSSA SENHORA AUXILIADORA;2.0;5376;2688.0
8295526502;3 a 5 SM;JARDIM ADELAIDE;2.0;5370;2685.0
8395891318;3 a 5 SM;PARQUE ORESTES ONGARO;2.0;5368;2684.0
20030012716;3 a 5 SM;JARDIM NOSSA SENHORA DE FATIMA;2.0;5365;2682.5
7722962190;3 a 5 SM;PARQUE DO HORTO;2.0;5361;2680.5
8651387377;3 a 5 SM;JARDIM SAO BENTO;2.0;5358;2679.0
20228098319;3 a 5 SM;JARDIM NOVA AMERICA;2.0;5354;2677.0
6377723695;3 a 5 SM;RESIDENCIAL ANAUA;2.0;5350;2675.0
6789575170;3 a 5 SM;JARDIM NOSSA SENHORA AUXILIADORA;2.0;5344;2672.0
8050315967;3 a 5 SM;JARDIM NOVA HORTOLANDIA;2.0;5343;2671.5
7697717930;3 a 5 SM;SANTA EMILIA;2.0;5340;2670.0
8729802512;3 a 5 SM;JARDIM SANTA ESMERALDA;2.0;5340;2670.0
8664298246;3 a 5 SM;JARDIM NOVA HORTOLANDIA;2.0;5334;2667.0
7994711359;3 a 5 SM;JARDIM AMANDA;2.0;5332;2666.0
4288104548;3 a 5 SM;JARDIM SANTA CANDIDA;2.0;5331;2665.5
2379286981;3 a 5 SM;JARDIM NOVA HORTOLANDIA;2.0;5330;2665.0
5527382129;3 a 5 SM;JARDIM CAMPOS VERDES;2.0;5326;2663.0
20275542386;3 a 5 SM;JARDIM NOVO CAMBUI;2.0;5322;2661.0
8287398975;3 a 5 SM;JARDIM CAMPOS VERDES;2.0;5318;2659.0
8791900352;3 a 5 SM;JARDIM AMANDA;2.0;5318;2659.0
8639093377;3 a 5 SM;JARDIM SANTNA;2.0;5312;2656.0
8212721019;3 a 5 SM;JARDIM SAO SEBASTIAO;2.0;5300;2650.0
5337315692;3 a 5 SM;RESIDENCIAL JOAO LUIZ;2.0;5288;2644.0
6967290673;3 a 5 SM;JARDIM AMANDA;2.0;5276;2638.0
8261032191;3 a 5 SM;JARDIM SAO SEBASTIAO;2.0;5272;2636.0
8282369500;3 a 5 SM;JARDIM SANTA CLARA DO LAGO CONTINUACAO;2.0;5268;2634.0
8401373700;3 a 5 SM;PARQUE GABRIEL;2.0;5268;2634.0
7922329091;3 a 5 SM;JARDIM AMANDA;2.0;5258;2629.0
8420161551;3 a 5 SM;JARDIM NOVA AMERICA;2.0;5258;2629.0
6882261598;3 a 5 SM;JARDIM SANTA ESMERALDA;2.0;5254;2627.0
6613680176;3 a 5 SM;JARDIM TERRAS DE SANTO ANTONIO;2.0;5250;2625.0
8773669857;3 a 5 SM;PARQUE RESIDENCIAL MARIA DE LOURDES;2.0;5242;2621.0
3603113420;3 a 5 SM;JARDIM AMANDA;2.0;5240;2620.0
5515405595;3 a 5 SM;JARDIM CAMPOS VERDES;2.0;5236;2618.0
7933257658;3 a 5 SM;JARDIM CARMEM CRISTINA;2.0;5236;2618.0
8142772256;3 a 5 SM;JARDIM AMANDA;2.0;5236;2618.0
8813009852;3 a 5 SM;RECANTO DO SOL;2.0;5228;2614.0
3018705351;3 a 5 SM;JARDIM NOSSA SENHORA DE FATIMA;2.0;5220;2610.0
